Protein Type	File Name	Accession ID	Hit Number	Hit ID	Query Definition	Hit Length	Species	Hsp E-value	Identity	Positives	Database	TaxID	Domain	Phylum	Class	Order	Family	Type	Strain
Transcription Factors	P19838_blast_results.txt	P19838	Hit 325	AYO89879.1	ankyrin repeat family protein [Fowlpox virus]	436	Fowlpox virus	2.08E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 326	AYO89620.1	ankyrin repeat family protein [Fowlpox virus]	436	Fowlpox virus	2.08E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 327	URH25527.1	ankyrin repeat gene family protein [Fowlpox virus]	436	Fowlpox virus	2.08E-07	65	93	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 328	URH24744.1	ankyrin repeat gene family protein [Fowlpox virus]	436	Fowlpox virus	2.08E-07	65	93	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 331	NP_038989.1	Ankyrin repeat gene family protein [Fowlpox virus]	436	Fowlpox virus	2.12E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 332	AXY04729.1	ankyrin repeat protein [Fowlpox virus]	436	Fowlpox virus	2.12E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 333	AXY04467.1	ankyrin repeat protein [Fowlpox virus]	436	Fowlpox virus	2.12E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 334	AAF44370.1	ORF FPV026 Ankyrin repeat gene family protein [Fowlpox virus]	436	Fowlpox virus	2.12E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 335	URH26312.1	ankyrin repeat gene family protein [Fowlpox virus]	436	Fowlpox virus	2.12E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 336	URH26049.1	ankyrin repeat gene family protein [Fowlpox virus]	436	Fowlpox virus	2.12E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 337	URH25785.1	ankyrin repeat gene family protein [Fowlpox virus]	436	Fowlpox virus	2.12E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 343	ART91460.1	ankyrin repeat family protein [Fowlpox virus]	436	Fowlpox virus	2.48E-07	63	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 353	UQT20560.1	ankyrin repeat family protein [Fowlpox virus]	436	Fowlpox virus	3.46E-07	63	91	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 354	UQT20318.1	ankyrin repeat family protein [Fowlpox virus]	436	Fowlpox virus	3.46E-07	63	91	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 380	AYP74077.1	ankyrin repeat protein [Fowlpox virus]	727	Fowlpox virus	5.55E-07	49	92	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 434	AXY04472.1	ankyrin repeat protein [Fowlpox virus]	341	Fowlpox virus	1.79E-06	61	91	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 437	NP_038994.1	Ankyrin repeat gene family protein [Fowlpox virus]	341	Fowlpox virus	1.80E-06	61	91	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 439	ART91465.1	ankyrin repeat family protein [Fowlpox virus]	341	Fowlpox virus	1.80E-06	61	91	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 440	AAF44375.1	ORF FPV031 Ankyrin repeat gene family protein [Fowlpox virus]	341	Fowlpox virus	1.80E-06	61	91	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 445	AXY04734.1	ankyrin repeat protein [Fowlpox virus]	341	Fowlpox virus	2.06E-06	61	91	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 459	AXY04993.1	ankyrin repeat protein [Fowlpox virus]	341	Fowlpox virus	3.92E-06	61	90	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 471	AXY04932.1	ankyrin repeat protein [Fowlpox virus]	525	Fowlpox virus	6.52E-06	59	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 477	AXY05191.1	ankyrin repeat protein [Fowlpox virus]	525	Fowlpox virus	7.24E-06	59	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 479	AXY04669.1	ankyrin repeat protein [Fowlpox virus]	525	Fowlpox virus	7.24E-06	59	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 482	URH28610.1	ankyrin repeat gene family protein [Fowlpox virus]	522	Fowlpox virus	7.99E-06	58	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 488	AYO90338.1	ankyrin repeat family protein [Fowlpox virus]	525	Fowlpox virus	8.16E-06	58	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 491	AYO90080.1	ankyrin repeat family protein [Fowlpox virus]	525	Fowlpox virus	8.16E-06	58	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 494	AYO89821.1	ankyrin repeat family protein [Fowlpox virus]	525	Fowlpox virus	8.16E-06	58	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 497	ART91661.1	ankyrin repeat family protein [Fowlpox virus]	525	Fowlpox virus	8.16E-06	58	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 500	AYP74290.1	ankyrin repeat protein [Fowlpox virus]	484	Fowlpox virus	8.35E-06	57	110	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 501	AYP74270.1	ankyrin repeat protein [Fowlpox virus]	603	Fowlpox virus	8.37E-06	50	88	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 508	URH29133.1	ankyrin repeat gene family protein [Fowlpox virus]	525	Fowlpox virus	8.90E-06	58	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 511	URH28094.1	ankyrin repeat gene family protein [Fowlpox virus]	525	Fowlpox virus	8.90E-06	58	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 520	NP_039191.1	Ankyrin repeat gene family protein [Fowlpox virus]	525	Fowlpox virus	8.90E-06	58	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 523	AAF44572.1	ORF FPV228 Ankyrin repeat gene family protein [Fowlpox virus]	525	Fowlpox virus	8.90E-06	58	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 591	ART91548.1	ankyrin repeat family protein [Fowlpox virus]	542	Fowlpox virus	1.53E-05	51	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 593	URH25617.1	ankyrin repeat gene family protein [Fowlpox virus]	542	Fowlpox virus	1.63E-05	51	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 595	URH24834.1	ankyrin repeat gene family protein [Fowlpox virus]	542	Fowlpox virus	1.63E-05	51	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 597	UQT20653.1	ankyrin repeat family protein [Fowlpox virus]	542	Fowlpox virus	1.63E-05	51	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 599	UQT20412.1	ankyrin repeat family protein [Fowlpox virus]	542	Fowlpox virus	1.63E-05	51	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 608	URH28860.1	ankyrin repeat gene family protein [Fowlpox virus]	317	Fowlpox virus	1.89E-05	60	107	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 609	URH28603.1	ankyrin repeat gene family protein [Fowlpox virus]	317	Fowlpox virus	1.89E-05	60	107	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 610	URH28342.1	ankyrin repeat gene family protein [Fowlpox virus]	317	Fowlpox virus	1.89E-05	60	107	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 634	AYP74186.1	ankyrin repeat protein [Fowlpox virus]	552	Fowlpox virus	3.45E-05	59	98	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 664	QRM13654.1	ankyrin repeat family protein [Fowlpox virus]	542	Fowlpox virus	5.29E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 666	AYO90484.1	ankyrin repeat family protein [Fowlpox virus]	542	Fowlpox virus	5.29E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 668	AYO90227.1	ankyrin repeat family protein [Fowlpox virus]	542	Fowlpox virus	5.29E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 670	AXY05078.1	ankyrin repeat protein [Fowlpox virus]	542	Fowlpox virus	5.29E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 672	AXY04557.1	ankyrin repeat protein [Fowlpox virus]	542	Fowlpox virus	5.29E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 678	NP_039078.1	Ankyrin repeat gene family protein [Fowlpox virus]	542	Fowlpox virus	5.33E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 680	AYO89968.1	ankyrin repeat family protein [Fowlpox virus]	542	Fowlpox virus	5.33E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 682	AYO89709.1	ankyrin repeat family protein [Fowlpox virus]	542	Fowlpox virus	5.33E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 684	AAF44459.1	ORF FPV115 Ankyrin repeat gene family protein [Fowlpox virus]	542	Fowlpox virus	5.33E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 686	AXY04819.1	ankyrin repeat protein [Fowlpox virus]	542	Fowlpox virus	5.43E-05	50	79	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 708	ART91665.1	ankyrin repeat family protein [Fowlpox virus]	482	Fowlpox virus	8.90E-05	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 725	URH28614.1	ankyrin repeat protein [Fowlpox virus]	475	Fowlpox virus	0.000108097	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 726	URH28098.1	ankyrin repeat protein [Fowlpox virus]	475	Fowlpox virus	0.000108097	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 727	URH25738.1	ankyrin repeat protein [Fowlpox virus]	475	Fowlpox virus	0.000108097	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 728	URH24954.1	ankyrin repeat protein [Fowlpox virus]	475	Fowlpox virus	0.000108097	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 736	AYP74187.1	ankyrin repeat protein [Fowlpox virus]	665	Fowlpox virus	0.000109935	60	99	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 744	AYO90084.1	ankyrin repeat protein [Fowlpox virus]	482	Fowlpox virus	0.000113314	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 745	AYO89825.1	ankyrin repeat protein [Fowlpox virus]	482	Fowlpox virus	0.000113314	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 754	NP_039195.1	ankyrin repeat protein [Fowlpox virus]	482	Fowlpox virus	0.000123542	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 756	AYO90342.1	ankyrin repeat protein [Fowlpox virus]	482	Fowlpox virus	0.000123542	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 757	AXY05195.1	ankyrin repeat protein [Fowlpox virus]	482	Fowlpox virus	0.000123542	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 758	AAF44576.1	ORF FPV232 Ankyrin repeat gene family protein [Fowlpox virus]	482	Fowlpox virus	0.000123542	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 759	AXY04673.1	ankyrin repeat protein [Fowlpox virus]	482	Fowlpox virus	0.000123542	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 760	AXY04936.1	ankyrin repeat protein [Fowlpox virus]	482	Fowlpox virus	0.000127887	47	74	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 772	AYP74078.1	ankyrin repeat protein [Fowlpox virus]	438	Fowlpox virus	0.000209514	50	87	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 780	AYP74271.1	ankyrin repeat protein [Fowlpox virus]	445	Fowlpox virus	0.000250827	50	85	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 810	AYP74071.1	ankyrin repeat protein [Fowlpox virus]	500	Fowlpox virus	0.000370888	50	88	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 818	AYP74131.1	ankyrin repeat protein [Fowlpox virus]	485	Fowlpox virus	0.000416032	48	82	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 71	URH27814.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	1.71E-08	58	97	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 91	URH26498.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	5.99E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 92	URH26235.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	5.99E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 93	URH25971.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	5.99E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 94	URH28847.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	6.15E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 95	URH28589.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	6.15E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 96	URH28329.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	6.15E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 100	NP_039169.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	6.50E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 101	AYO90058.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	6.50E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 102	AYO89799.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	6.50E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 103	AXY04648.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	6.50E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 104	AAF44550.1	ORF FPV206 G protein-coupled receptor gene family protein [Fowlpox virus]	308	Fowlpox virus	6.50E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 106	ART91639.1	G protein-coupled receptor family protein [Fowlpox virus]	308	Fowlpox virus	7.19E-08	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 114	AXY04910.1	G protein-coupled chemokine receptor-like protein [Fowlpox virus]	308	Fowlpox virus	1.00E-07	57	96	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 122	AYP74273.1	G protein-coupled receptor-like protein [Fowlpox virus]	327	Fowlpox virus	1.15E-07	68	115	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 143	URH26313.1	G protein-coupled receptor gene family protein [Fowlpox virus]	336	Fowlpox virus	1.30E-07	63	117	Genomic Viruses	1416740	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
